word,n,conc_tile
ability,35,2
able,35,4
about,35,1
above,35,7
abroad,35,5
absolutely,35,2
academic,35,3
accept,35,6
accepted,35,4
access,35,5
accomplish,35,4
according,35,1
accurate,35,2
achieve,35,4
acquire,35,6
act,35,4
action,35,5
active,35,7
activity,35,5
actual,35,3
actually,35,1
adapt,35,4
addition,35,6
adult,35,9
advanced,35,2
advantage,35,2
advertisement,35,8
advertising,35,8
advice,35,5
advise,35,3
affect,35,2
affected,35,2
afford,35,2
after,35,3
again,35,2
against,35,2
age,35,5
aged,35,6
ago,35,1
agree,35,4
air,35,8
all,35,4
allow,35,4
almost,35,1
alone,35,5
along,35,3
already,35,1
also,35,2
although,35,1
always,35,1
am,35,2
among,35,4
amount,35,5
an,35,1
and,35,1
another,35,5
answer,35,6
any,35,1
anyone,35,5
anything,35,1
anywhere,35,3
apart,35,6
appear,35,6
apply,35,4
appreciate,35,3
appropriate,35,2
are,35,2
area,35,8
argue,35,5
argument,35,5
around,35,2
art,35,9
as,35,1
ask,35,4
aspect,35,2
at,35,3
attend,35,6
attention,35,4
attitude,35,2
attract,35,5
attractive,35,5
available,35,3
avoid,35,4
aware,35,2
away,35,3
baby,35,10
back,35,9
background,35,7
bad,35,1
balance,35,6
bank,35,10
base,35,8
based,35,2
basic,35,4
be,35,2
beautiful,35,3
because,35,1
become,35,1
becomes,35,1
becoming,35,1
been,35,2
before,35,2
begin,35,5
behave,35,1
behavior,35,3
behind,35,7
being,35,2
belief,35,1
believe,35,1
below,35,7
benefit,35,3
besides,35,3
best,35,1
better,35,2
between,35,5
big,35,7
bigger,35,7
bit,35,7
body,35,10
book,35,10
boring,35,3
born,35,6
boss,35,8
both,35,6
bought,35,6
boy,35,10
brain,35,10
break,35,8
bring,35,5
broad,35,4
brother,35,9
brought,35,3
build,35,8
building,35,9
built,35,7
business,35,7
busy,35,4
but,35,3
buy,35,7
by,35,1
call,35,8
came,35,2
can,35,9
cannot,35,4
car,35,10
care,35,4
career,35,4
careful,35,2
carefully,35,3
carry,35,8
case,35,8
cause,35,4
century,35,5
certain,35,1
certainly,35,2
challenge,35,3
chance,35,1
change,35,6
character,35,6
chat,35,7
check,35,8
child,35,10
childhood,35,4
children,35,10
china,35,10
choice,35,2
choose,35,5
choosing,35,3
chose,35,4
city,35,10
claim,35,6
class,35,8
classes,35,8
classroom,35,10
clean,35,6
clear,35,7
clearly,35,3
