category_label,word
animal,cat
animal,dog
animal,animal
body,eye
body,leg
body,mouth
civic,social
civic,politics
civic,culture
democracy,parliamentary
democracy,delegate
democracy,election
disaster,calamity
disaster,disaster
disaster,famine
earth,earth
earth,sun
earth,ocean
food,onion
food,rice
food,milk
geography,territory
geography,city
geography,zone
health,therapy
health,flu
health,vaccine
human_development,mother
human_development,husband
human_development,child
justice,accusation
justice,criminal
justice,guilty
profession,writer
profession,poet
profession,painter
religion,sin
religion,devil
religion,angel
time,first
time,month
time,time
