"","Herero","Zulu","Tswana","Shona","Ndonga","Swati","Tsonga","Venda","Kongo","Tumbuka","Kikuyu","Luganda","Kinyarwanda","Lingala","Kirundi","Igbo","Bambara","Tigrinya","Afar","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Latin","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Meadow Mari","Bulgarian","Belarusian","Hungarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Kabardian","Turkish","Ossetian","Hebrew","Sindhi","Eastern Punjabi","Kazakh","Sakha","Korean","Chinese","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Gujarati","Telugu","Tamil","Malayalam","Sinhalese","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Tetum","Nauruan","Chamorro","Samoan","Tongan","Maori","Hawaiian","Tahitian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.62090909090909,0.794545454545454,0.510909090909091,0.629999999999999,0.621818181818181,0.454545454545454,0.535454545454546,0.521818181818182,0.531818181818182,0.454545454545454,0.545454545454546,0.622727272727272,0.421818181818182,0.628181818181817,0.397272727272727,0.430909090909091,0.725454545454546,0.459090909090909,0.634545454545453,0.721818181818182,0.520909090909091,0.818181818181818,0.676363636363636,0.629999999999999,0.726363636363637,0.755454545454545,0.727272727272728,0.726363636363637,0.727272727272728,0.666363636363636,0.721818181818182,0.727272727272728,0.726363636363637,0.802727272727273,0.682727272727272,0.698181818181818,0.817272727272727,0.510909090909091,0.726363636363637,0.526363636363637,0.722727272727273,0.710909090909091,0.707272727272727,0.717272727272727,0.695454545454545,0.818181818181818,0.52,0.628181818181817,0.629090909090908,0.540909090909092,0.545454545454546,0.818181818181818,0.563636363636364,0.633636363636362,0.727272727272728,0.709090909090909,0.48,0.545454545454546,0.636363636363635,0.68,0.368181818181818,0.818181818181818,0.761818181818182,0.726363636363637,0.740909090909091,0.717272727272727,0.782727272727272,0.774545454545454,0.818181818181818,0.795454545454545,0.636363636363635,0.636363636363635,0.727272727272728,0.566363636363637,0.636363636363635,0.726363636363637,0.727272727272728,0.454545454545454,0.636363636363635,0.649999999999999,0.691818181818181,0.636363636363635,0.616363636363635,0.636363636363635,0.545454545454546,0.619090909090908,0.474545454545454,0.727272727272728,0.698181818181818,0.727272727272728,0.719090909090909,0.454545454545454,0.515454545454546,0.552727272727273,0.584545454545454
"Zulu",0.62090909090909,0,0.493636363636364,0.539090909090909,0.685454545454545,0.101818181818182,0.318181818181818,0.385454545454546,0.623636363636362,0.390909090909091,0.533636363636364,0.51,0.493636363636364,0.576363636363636,0.480909090909091,0.609090909090908,0.609999999999999,0.868181818181817,0.61090909090909,0.679090909090909,0.585454545454545,0.770909090909091,0.785454545454546,0.634545454545454,0.681818181818181,0.417272727272727,0.448181818181818,0.421818181818182,0.425454545454545,0.420909090909091,0.666363636363636,0.503636363636364,0.420909090909091,0.504545454545455,0.604545454545454,0.612727272727272,0.709090909090909,0.603636363636363,0.612727272727272,0.692727272727272,0.619090909090908,0.414545454545454,0.505454545454546,0.377272727272727,0.496363636363637,0.358181818181818,0.507272727272728,0.278181818181818,0.422727272727273,0.224545454545455,0.702727272727273,0.437272727272727,0.517272727272728,0.432727272727273,0.592727272727272,0.541818181818182,0.316363636363636,0.393636363636364,0.672727272727272,0.785454545454546,0.573636363636364,0.389090909090909,0.603636363636363,0.726363636363636,0.413636363636363,0.502727272727273,0.498181818181818,0.446363636363637,0.47909090909091,0.603636363636363,0.47,0.60090909090909,0.694545454545454,0.694545454545454,0.459090909090909,0.512727272727273,0.514545454545455,0.512727272727273,0.624545454545453,0.723636363636364,0.363636363636364,0.532727272727273,0.21,0.234545454545455,0.391818181818182,0.445454545454545,0.225454545454546,0.527272727272728,0.541818181818183,0.517272727272728,0.504545454545455,0.49,0.716363636363637,0.557272727272727,0.486363636363637,0.391818181818182
"Tswana",0.794545454545454,0.493636363636364,0,0.67,0.790909090909091,0.5,0.524545454545455,0.579090909090909,0.892727272727271,0.571818181818182,0.701818181818182,0.888181818181817,0.585454545454545,0.75,0.591818181818182,0.775454545454545,0.774545454545455,0.692727272727272,0.706363636363636,0.887272727272726,0.874545454545453,0.596363636363636,0.889090909090908,0.882727272727271,0.876363636363635,0.706363636363636,0.699090909090909,0.707272727272727,0.710909090909091,0.705454545454545,0.589090909090909,0.607272727272727,0.705454545454545,0.707272727272727,0.708181818181818,0.7,0.702727272727273,0.706363636363636,0.790909090909091,0.798181818181818,0.796363636363636,0.7,0.593636363636363,0.663636363636363,0.668181818181818,0.639999999999999,0.704545454545454,0.655454545454545,0.697272727272727,0.397272727272727,0.871818181818181,0.682727272727272,0.702727272727273,0.668181818181818,0.785454545454545,0.636363636363636,0.506363636363637,0.763636363636364,0.777272727272727,0.793636363636364,0.763636363636363,0.659090909090908,0.707272727272727,0.884545454545453,0.513636363636364,0.699090909090909,0.69090909090909,0.645454545454545,0.651818181818181,0.617272727272726,0.665454545454545,0.888181818181817,0.889090909090908,0.793636363636364,0.647272727272727,0.707272727272727,0.704545454545454,0.707272727272727,0.792727272727273,0.794545454545454,0.625454545454545,0.701818181818181,0.386363636363636,0.402727272727273,0.659090909090908,0.571818181818182,0.408181818181818,0.695454545454545,0.698181818181818,0.691818181818181,0.61090909090909,0.601818181818181,0.88090909090909,0.842727272727272,0.663636363636363,0.567272727272727
"Shona",0.510909090909091,0.539090909090909,0.67,0,0.654545454545454,0.540909090909091,0.351818181818182,0.46,0.67090909090909,0.459090909090909,0.718181818181818,0.68,0.690909090909091,0.536363636363636,0.688181818181818,0.411818181818182,0.532727272727273,0.784545454545455,0.448181818181818,0.790909090909091,0.634545454545454,0.589999999999999,0.807272727272727,0.709090909090909,0.635454545454544,0.725454545454545,0.742727272727273,0.732727272727273,0.73,0.732727272727273,0.513636363636364,0.636363636363635,0.732727272727273,0.721818181818182,0.812727272727272,0.802727272727272,0.810909090909091,0.815454545454545,0.71,0.813636363636363,0.72,0.728181818181818,0.707272727272727,0.703636363636364,0.718181818181818,0.69090909090909,0.79,0.500909090909091,0.709090909090909,0.459090909090909,0.713636363636364,0.460909090909091,0.817272727272727,0.493636363636364,0.49,0.741818181818182,0.644545454545454,0.585454545454545,0.476363636363636,0.710909090909091,0.715454545454545,0.470909090909091,0.801818181818182,0.572727272727273,0.703636363636364,0.751818181818182,0.727272727272727,0.763636363636363,0.763636363636363,0.717272727272728,0.78,0.638181818181817,0.641818181818181,0.730909090909091,0.49,0.724545454545454,0.726363636363636,0.732727272727273,0.586363636363636,0.745454545454546,0.608181818181818,0.706363636363636,0.468181818181818,0.48,0.468181818181818,0.530909090909091,0.469090909090909,0.715454545454545,0.703636363636364,0.7,0.587272727272727,0.577272727272727,0.705454545454545,0.695454545454545,0.688181818181818,0.552727272727272
"Ndonga",0.629999999999999,0.685454545454545,0.790909090909091,0.654545454545454,0,0.689090909090909,0.591818181818181,0.502727272727273,0.524545454545455,0.507272727272728,0.809999999999999,0.330909090909091,0.788181818181818,0.671818181818181,0.784545454545454,0.703636363636364,0.612727272727272,0.410909090909091,0.565454545454545,0.503636363636364,0.49,0.599999999999999,0.700909090909091,0.629999999999999,0.617272727272727,0.700909090909091,0.638181818181817,0.700909090909091,0.703636363636364,0.700909090909091,0.437272727272727,0.618181818181818,0.700909090909091,0.60090909090909,0.609999999999999,0.71,0.519090909090909,0.6,0.611818181818181,0.510909090909091,0.621818181818181,0.710909090909091,0.734545454545455,0.725454545454546,0.728181818181818,0.732727272727273,0.786363636363636,0.537272727272727,0.700909090909091,0.596363636363636,0.514545454545455,0.595454545454545,0.609999999999999,0.639090909090908,0.322727272727273,0.786363636363636,0.79090909090909,0.460909090909091,0.471818181818182,0.506363636363637,0.559090909090909,0.627272727272726,0.791818181818182,0.729090909090909,0.900909090909089,0.792727272727272,0.798181818181818,0.832727272727272,0.841818181818181,0.785454545454546,0.808181818181818,0.512727272727273,0.609999999999999,0.597272727272727,0.470909090909091,0.700909090909091,0.696363636363636,0.700909090909091,0.446363636363636,0.616363636363635,0.688181818181818,0.715454545454546,0.617272727272726,0.611818181818181,0.708181818181818,0.402727272727273,0.61090909090909,0.707272727272727,0.791818181818181,0.782727272727272,0.668181818181818,0.667272727272727,0.615454545454544,0.537272727272727,0.777272727272727,0.719999999999999
"Swati",0.621818181818181,0.101818181818182,0.5,0.540909090909091,0.689090909090909,0,0.317272727272727,0.379090909090909,0.619090909090908,0.398181818181818,0.532727272727273,0.516363636363637,0.486363636363636,0.581818181818182,0.485454545454546,0.596363636363636,0.602727272727272,0.875454545454544,0.619090909090909,0.691818181818182,0.589090909090909,0.764545454545455,0.78909090909091,0.631818181818181,0.685454545454545,0.426363636363636,0.449090909090909,0.425454545454545,0.428181818181818,0.425454545454545,0.639090909090909,0.507272727272727,0.425454545454545,0.512727272727273,0.607272727272727,0.615454545454545,0.702727272727272,0.602727272727272,0.608181818181817,0.692727272727272,0.615454545454545,0.418181818181818,0.502727272727273,0.378181818181818,0.491818181818182,0.357272727272727,0.513636363636364,0.250909090909091,0.418181818181818,0.220909090909091,0.69,0.413636363636363,0.523636363636364,0.438181818181818,0.593636363636363,0.546363636363637,0.313636363636364,0.373636363636364,0.645454545454545,0.785454545454546,0.571818181818182,0.408181818181818,0.607272727272727,0.732727272727273,0.422727272727272,0.506363636363636,0.502727272727273,0.456363636363636,0.47,0.606363636363636,0.473636363636364,0.607272727272727,0.698181818181818,0.694545454545454,0.439090909090909,0.516363636363636,0.511818181818182,0.516363636363636,0.623636363636362,0.722727272727273,0.362727272727273,0.533636363636364,0.230909090909091,0.230909090909091,0.412727272727272,0.462727272727273,0.226363636363637,0.52909090909091,0.538181818181819,0.522727272727273,0.497272727272727,0.485454545454546,0.710909090909091,0.565454545454545,0.486363636363637,0.368181818181818
"Tsonga",0.454545454545454,0.318181818181818,0.524545454545455,0.351818181818182,0.591818181818181,0.317272727272727,0,0.412727272727272,0.629090909090908,0.426363636363636,0.545454545454546,0.636363636363635,0.719090909090909,0.652727272727272,0.719090909090909,0.517272727272728,0.521818181818182,0.807272727272727,0.541818181818182,0.810909090909091,0.697272727272727,0.611818181818181,0.909090909090908,0.676363636363636,0.720909090909091,0.540909090909092,0.57,0.545454545454546,0.543636363636364,0.545454545454546,0.575454545454545,0.449090909090908,0.545454545454546,0.540000000000001,0.63181818181818,0.63090909090909,0.724545454545455,0.63090909090909,0.626363636363635,0.72,0.625454545454544,0.540909090909092,0.52909090909091,0.525454545454546,0.534545454545455,0.510909090909091,0.633636363636362,0.423636363636363,0.527272727272728,0.251818181818182,0.719090909090909,0.545454545454546,0.632727272727271,0.563636363636363,0.542727272727273,0.673636363636363,0.436363636363636,0.570909090909091,0.545454545454546,0.727272727272728,0.601818181818182,0.550000000000001,0.636363636363635,0.761818181818182,0.544545454545455,0.658181818181818,0.658181818181818,0.594545454545454,0.592727272727272,0.545454545454546,0.613636363636363,0.727272727272728,0.727272727272728,0.818181818181818,0.475454545454545,0.545454545454546,0.542727272727273,0.545454545454546,0.545454545454546,0.727272727272728,0.4,0.541818181818183,0.272727272727273,0.260909090909091,0.545454545454546,0.454545454545454,0.260909090909091,0.544545454545455,0.545454545454546,0.537272727272728,0.363636363636364,0.355454545454546,0.727272727272728,0.699090909090909,0.505454545454546,0.5
"Venda",0.535454545454546,0.385454545454546,0.579090909090909,0.46,0.502727272727273,0.379090909090909,0.412727272727272,0,0.526363636363637,0.12,0.719090909090909,0.517272727272727,0.403636363636364,0.578181818181818,0.400909090909091,0.603636363636363,0.501818181818182,0.689090909090909,0.526363636363636,0.697272727272727,0.682727272727272,0.587272727272727,0.791818181818182,0.545454545454545,0.688181818181818,0.697272727272727,0.724545454545455,0.700909090909091,0.702727272727273,0.7,0.567272727272727,0.60090909090909,0.7,0.689090909090909,0.793636363636364,0.796363636363636,0.709090909090909,0.790909090909091,0.612727272727272,0.693636363636363,0.614545454545454,0.693636363636363,0.688181818181818,0.652727272727272,0.669090909090909,0.636363636363635,0.786363636363636,0.322727272727273,0.700909090909091,0.306363636363637,0.599999999999999,0.32,0.794545454545455,0.424545454545455,0.506363636363637,0.713636363636364,0.490909090909091,0.39,0.482727272727273,0.604545454545454,0.656363636363636,0.405454545454545,0.791818181818182,0.733636363636363,0.605454545454545,0.693636363636364,0.661818181818182,0.726363636363636,0.752727272727272,0.7,0.746363636363636,0.608181818181818,0.609999999999999,0.695454545454545,0.182727272727273,0.700909090909091,0.698181818181818,0.700909090909091,0.446363636363636,0.615454545454545,0.539090909090909,0.707272727272727,0.297272727272727,0.307272727272727,0.297272727272727,0.278181818181818,0.310909090909091,0.706363636363636,0.701818181818182,0.696363636363636,0.591818181818181,0.581818181818181,0.532727272727273,0.556363636363636,0.671818181818182,0.450909090909091
"Kongo",0.521818181818182,0.623636363636362,0.892727272727271,0.67090909090909,0.524545454545455,0.619090909090908,0.629090909090908,0.526363636363637,0,0.523636363636364,0.512727272727273,0.448181818181818,0.715454545454546,0.5,0.718181818181818,0.505454545454546,0.411818181818182,0.713636363636364,0.609999999999999,0.625454545454544,0.623636363636362,0.714545454545455,0.81090909090909,0.659999999999999,0.628181818181817,0.719090909090909,0.747272727272727,0.72,0.717272727272727,0.710909090909091,0.714545454545455,0.718181818181818,0.710909090909091,0.716363636363637,0.804545454545454,0.799090909090909,0.706363636363636,0.808181818181818,0.617272727272726,0.715454545454545,0.621818181818181,0.717272727272728,0.621818181818181,0.717272727272727,0.723636363636364,0.715454545454545,0.808181818181818,0.507272727272727,0.712727272727273,0.617272727272726,0.419090909090909,0.401818181818182,0.809999999999999,0.45,0.533636363636364,0.761818181818182,0.715454545454545,0.441818181818181,0.623636363636362,0.625454545454544,0.669090909090909,0.527272727272728,0.81090909090909,0.755454545454545,0.812727272727272,0.765454545454545,0.762727272727273,0.804545454545454,0.808181818181818,0.613636363636363,0.804545454545454,0.629999999999999,0.629090909090908,0.716363636363637,0.532727272727273,0.72,0.712727272727273,0.72,0.24,0.21,0.464545454545455,0.61090909090909,0.59,0.601818181818181,0.499090909090909,0.53909090909091,0.596363636363636,0.706363636363636,0.585454545454545,0.488181818181818,0.534545454545455,0.588181818181818,0.609090909090908,0.532727272727273,0.687272727272727,0.527272727272727
"Tumbuka",0.531818181818182,0.390909090909091,0.571818181818182,0.459090909090909,0.507272727272728,0.398181818181818,0.426363636363636,0.12,0.523636363636364,0,0.715454545454545,0.510909090909091,0.393636363636364,0.573636363636363,0.400909090909091,0.609090909090908,0.508181818181818,0.689090909090909,0.53,0.686363636363636,0.688181818181818,0.588181818181818,0.783636363636363,0.559090909090909,0.679999999999999,0.691818181818181,0.718181818181818,0.692727272727272,0.695454545454545,0.695454545454545,0.579090909090909,0.592727272727272,0.695454545454545,0.681818181818181,0.788181818181818,0.799090909090909,0.704545454545454,0.780909090909091,0.609090909090908,0.692727272727272,0.615454545454545,0.685454545454545,0.683636363636363,0.651818181818181,0.678181818181818,0.633636363636363,0.777272727272727,0.334545454545455,0.707272727272727,0.302727272727273,0.599090909090908,0.321818181818182,0.789090909090909,0.432727272727273,0.500909090909091,0.708181818181818,0.5,0.383636363636364,0.494545454545455,0.602727272727272,0.650909090909091,0.403636363636364,0.783636363636363,0.727272727272727,0.607272727272727,0.682727272727273,0.659090909090909,0.73,0.745454545454545,0.696363636363636,0.743636363636364,0.601818181818181,0.601818181818181,0.693636363636363,0.176363636363637,0.692727272727272,0.696363636363636,0.692727272727272,0.442727272727272,0.619999999999999,0.541818181818182,0.713636363636364,0.302727272727273,0.310909090909091,0.302727272727273,0.293636363636364,0.311818181818182,0.704545454545455,0.708181818181818,0.694545454545454,0.608181818181817,0.596363636363636,0.531818181818182,0.556363636363636,0.666363636363636,0.452727272727273
