l1,l2,local_global,ci_lower,ci_upper,corr
ARA,BEN,global,0.28137365540927145,0.3091063600561441,0.29531110892186807
ARA,BEN,local,0.42532912760681624,0.5924544582571244,0.503696648676856
ARA,BUL,global,0.33946453628660456,0.36921850009087936,0.35453088411380757
ARA,BUL,local,0.44835934329261484,0.6334126605721292,0.5459793657037304
ARA,CHI,global,0.30865849427724945,0.3403240706571685,0.3253051093725913
ARA,CHI,local,0.4475582155211054,0.6020065546858322,0.5232221802398263
ARA,DUT,global,0.3125267740288405,0.3441012576028626,0.3291060239180639
ARA,DUT,local,0.3848315001482305,0.5593774440940822,0.4690424996574958
ARA,ENG,global,0.32012393703347164,0.3452537310679718,0.33292269442684574
ARA,ENG,local,0.43485464621558845,0.6024867305075378,0.5217391314256272
ARA,FAS,global,0.3460541385394116,0.38384865344100627,0.36480761290534564
ARA,FAS,local,0.46535798665050015,0.6305143917767287,0.546649150684781
ARA,FRE,global,0.3448066484819229,0.3806461879143534,0.3632987314553215
ARA,FRE,local,0.3178957653413168,0.584413724564113,0.46566243850026295
ARA,GER,global,0.31566615311732255,0.34327189800142544,0.33045628414100325
ARA,GER,local,0.42395600096012104,0.6115811405098627,0.5163383488838359
ARA,GRE,global,0.3192118328949808,0.35463676664727883,0.3378560222075587
ARA,GRE,local,0.4517277201604483,0.6305692027495828,0.5410729700398654
ARA,GUJ,global,0.29954078637511644,0.3348586975591737,0.3174688324528911
ARA,GUJ,local,0.42494066447214635,0.5860243101077125,0.5049598509230815
ARA,HIN,global,0.2867963608580989,0.3146414420005454,0.30001880809866655
ARA,HIN,local,0.3661091194569143,0.562768675566614,0.4639327342920764
ARA,IBO,global,0.2821037429546892,0.30792177998496567,0.2950137646566689
ARA,IBO,local,0.36936048794849735,0.5375412892140126,0.4555389049183366
ARA,IND,global,0.3167385281036874,0.34749574107425635,0.33172486525874506
ARA,IND,local,0.45301680407369854,0.6065556376440091,0.5267950980597922
ARA,ITA,global,0.34455470498052454,0.38521964954019405,0.3649325831748065
ARA,ITA,local,0.45530366605599215,0.6375114344983235,0.5477088671467572
ARA,JPN,global,0.31325228738396405,0.3518543588077618,0.33257816335644247
ARA,JPN,local,0.4370139768119108,0.6330654343831336,0.5241468541656926
ARA,KAN,global,0.2908243465759611,0.31767269099477863,0.30464274393140806
ARA,KAN,local,0.3736234766161701,0.5585085369856471,0.46850023071346436
ARA,KOR,global,0.3541778285602642,0.39330620685575635,0.37343490303749954
ARA,KOR,local,0.45610035289804085,0.6513131413437571,0.5509214180135346
ARA,MAL,global,0.3161391531473679,0.3461320940762682,0.330941245506645
ARA,MAL,local,0.36359681416401235,0.5506338157774129,0.4565901293940771
ARA,MAR,global,0.28496398975932286,0.31488004899906247,0.3003806953652835
ARA,MAR,local,0.36755630055628696,0.5516569031916118,0.46026792829276764
ARA,NEP,global,0.28629593972720474,0.3229791203066819,0.3056890013673992
ARA,NEP,local,0.4348626650837002,0.5906104390573698,0.5115392346218073
ARA,PAN,global,0.26239817450085595,0.29435807629730787,0.27768305096354895
ARA,PAN,local,0.37364631768671724,0.5612723406115129,0.47036340896886425
ARA,POL,global,0.3310571976315364,0.36750067191807295,0.35068872272508383
ARA,POL,local,0.46099268098711477,0.6184212690532646,0.5435447624166444
ARA,POR,global,0.3482513447708441,0.3807983429768737,0.36515434489947096
ARA,POR,local,0.4002281855380571,0.6122054106707958,0.4988543032435891
ARA,RUM,global,0.3268992917476172,0.35669412880826573,0.34264228632294697
ARA,RUM,local,0.4206139087716043,0.6038852028178644,0.5127213525062653
ARA,RUS,global,0.29347942067490024,0.3302162431139008,0.31220380068552944
ARA,RUS,local,0.39879594786897044,0.60272274831035,0.5038930452665833
ARA,SPA,global,0.34533161885719815,0.37309867652908596,0.35941686091025393
ARA,SPA,local,0.4572622011374792,0.6156126103456322,0.5377354303630258
ARA,TAM,global,0.325632596232396,0.3535139384761784,0.3405840977536461
ARA,TAM,local,0.3788993576527263,0.565520183210252,0.4727874585137083
ARA,TEL,global,0.2940384188864058,0.3299470029074975,0.31229749797686446
ARA,TEL,local,0.4230174831072739,0.6006085932863668,0.5065756915026249
ARA,TGL,global,0.34663616207419784,0.3724575393063835,0.35910366897662227
ARA,TGL,local,0.41185847455216734,0.5689866009988844,0.4885443509931805
ARA,THA,global,0.3507366748953301,0.38035802569220384,0.36573358574431264
ARA,THA,local,0.4491809809819666,0.6168663889307864,0.5279052603923644
ARA,TUR,global,0.34487621353591574,0.3766252205900494,0.3617732185595215
ARA,TUR,local,0.45915599691800013,0.6096684743966361,0.5345954953573607
ARA,URD,global,0.35656422922120123,0.3816616342757177,0.36815234243374695
ARA,URD,local,0.4247581584573529,0.6045992559298391,0.5116689897708742
ARA,VIE,global,0.3228671984278334,0.35409558048388257,0.33913157902057584
ARA,VIE,local,0.46237908704080666,0.626232062664134,0.540715523154715
ARA,YOR,global,0.27180494457989257,0.29757898824689705,0.28457792194229237
ARA,YOR,local,0.37373759423563746,0.531211940549103,0.4492480936049337
BEN,BUL,global,0.2889520836104387,0.32523531739911693,0.3066794210155996
BEN,BUL,local,0.42842541262728323,0.6015252655212363,0.511057623702148
BEN,CHI,global,0.29944052227481355,0.3337965627127077,0.3164778109667267
BEN,CHI,local,0.41019186245052763,0.564527005035735,0.4869944026028756
BEN,DUT,global,0.30479644783670395,0.3273619246411898,0.3163738856766559
BEN,DUT,local,0.3158406625993434,0.5260337771443574,0.4226102585703803
BEN,ENG,global,0.3116068023356478,0.3392839183748633,0.32581297258915776
BEN,ENG,local,0.3577537986698057,0.5437051496031508,0.4574194218622689
BEN,FAS,global,0.306032504295607,0.33820948483765984,0.3228420098265975
BEN,FAS,local,0.3945989903509015,0.5565809854616681,0.4744442746869788
BEN,FRE,global,0.264976668712246,0.30287850420024703,0.28395679858083217
BEN,FRE,local,0.20181161842242673,0.5458600948998668,0.39767191393623175
BEN,GER,global,0.3176792058162052,0.34054702139745663,0.3292402503827267
BEN,GER,local,0.2939860388570052,0.51830542197231,0.4130353114274201
BEN,GRE,global,0.31861855465439515,0.34491855749851813,0.33183206726720393
BEN,GRE,local,0.21469751197712256,0.556776299424532,0.4184006137336343
BEN,GUJ,global,0.33553193022633326,0.36152146460581214,0.34789354828396923
BEN,GUJ,local,0.3928607009671434,0.5546521792331445,0.4671812310493673
BEN,HIN,global,0.30608736172356965,0.3358875709716812,0.32118228119793935
BEN,HIN,local,0.2029610523419977,0.518969241282961,0.39283962761127655
BEN,IBO,global,0.24195146701384587,0.2740659036185785,0.2594115211549518
BEN,IBO,local,0.19151759254777126,0.4922208133010096,0.36832280010534707
BEN,IND,global,0.3055130160473016,0.33128693067249115,0.3188868345425863
BEN,IND,local,0.4138733476744375,0.5912509501520432,0.5004531259740718
BEN,ITA,global,0.30306090446116263,0.3328804606490073,0.3187267088811139
BEN,ITA,local,0.4049714748790105,0.587655218019604,0.49006720489986344
BEN,JPN,global,0.3025284483878562,0.3311417515459079,0.317223961575572
BEN,JPN,local,0.4071581364953366,0.5845105052364127,0.49335233724309396
BEN,KAN,global,0.3323770627544012,0.36269843536455965,0.34757716033482194
BEN,KAN,local,0.36886069439717617,0.5482345137502175,0.45830245705049494
BEN,KOR,global,0.30901935877579406,0.3464769152354934,0.326948553338264
BEN,KOR,local,0.4165995461503993,0.5654239289876035,0.48830008465380986
BEN,MAL,global,0.3161309334459298,0.3458379725255215,0.33195645666139617
BEN,MAL,local,0.39377532675152677,0.5799966073214234,0.4842446898303815
BEN,MAR,global,0.30541640603353126,0.335301923478884,0.32008529877869374
BEN,MAR,local,0.38673654583400213,0.5475595038538968,0.4628520819886436
BEN,NEP,global,0.2984569382464532,0.3283566229344581,0.313473348889158
BEN,NEP,local,0.4068720294726988,0.5851624895133936,0.4978852083068699
BEN,PAN,global,0.3368779884392247,0.3606490264326994,0.348739505739727
BEN,PAN,local,0.40097127523257525,0.5548285164364065,0.4763556832831472
BEN,POL,global,0.2944122370019958,0.32725515107476916,0.31108436904901715
BEN,POL,local,0.37296315164048754,0.5636852885457304,0.4652524365589253
BEN,POR,global,0.3371165595125822,0.3642357879099548,0.3500582535234295
